Titles,Rating,RTCritic,RTFan,IMDb,Metacritic,BoxOffice,Year,Action,Animation,Family,Scifi,Comedy,Drama,International,Romance,Horror,Mystery,Documentary
The Perks of Being a Wallflower,PG13,86,89,8,67,17742948,2012,0,0,0,0,0,1,0,0,0,0,0
Rise of the Guardians,PG,74,80,7.3,57,103412758,2012,1,1,1,0,0,0,0,0,0,0,0
End of Watch,R,85,86,7.7,68,41003371,2012,0,0,0,0,0,1,0,0,0,0,0
Moonrise Kingdom,PG13,93,86,7.8,84,45512466,2012,0,0,0,0,1,0,0,0,0,0,0
House at the End of the Street,PG13,11,41,5.6,31,31611916,2012,0,0,0,0,0,0,0,0,1,1,0
John Carter,PG13,51,59,6.6,51,73058679,2012,1,0,1,1,0,0,0,0,1,0,0
Safe House,R,53,63,6.8,52,126181630,2012,1,0,0,0,0,0,0,0,0,1,0
The Collection,R,37,50,6.1,38,6810754,2012,1,0,0,0,0,0,0,0,1,1,0
Delivery Man,PG13,39,47,6.4,44,30659817,2013,0,0,0,0,1,0,0,0,0,0,0
Rush,R,89,88,8.1,75,26947624,2013,1,0,0,0,0,1,0,0,0,0,0
American Hustle,R,93,74,7.3,90,150117807,2013,0,0,0,0,0,1,0,0,0,0,0
Dallas Buyers Club,R,93,91,8,84,27298285,2013,0,0,0,0,0,1,0,0,0,0,0
Warm Bodies,PG13,81,73,6.9,59,66380662,2013,0,0,0,0,1,0,0,0,0,0,0
Iron Man 3,PG13,79,78,7.2,62,408992272,2013,1,0,0,1,0,0,0,0,0,0,0
Out of the Furnace,R,54,52,6.8,63,11330849,2013,0,0,0,0,0,1,0,0,0,0,0
Ender's Game,PG13,61,65,6.7,51,61737191,2013,1,0,0,1,0,0,0,0,0,0,0
Oblivion,PG13,52,61,7,54,89107235,2013,1,0,0,1,0,0,0,0,0,0,0
Man of Steel,PG13,55,75,7.1,55,291045518,2013,1,0,0,1,0,0,0,0,0,0,0
The Spectacular Now,R,92,76,7.1,82,6852971,2013,0,0,0,0,1,1,0,1,0,0,0
A Good Day to Die Hard,R,14,40,5.3,28,67349198,2013,1,0,0,0,0,0,0,0,0,0,0
The Host,PG13,9,49,5.9,35,26623701,2013,1,0,0,1,0,0,0,1,0,0,0
Pacific Rim,PG13,71,77,7,64,101802906,2013,1,0,0,1,0,0,0,0,1,0,0
The Call,R,45,65,6.7,51,51872378,2013,0,0,0,0,0,0,0,0,0,1,0
Lucy,R,67,47,6.4,61,126573960,2014,1,0,0,0,0,0,0,0,0,0,0
Beyond the Lights,PG13,83,75,6.9,73,14618727,2014,0,0,0,0,0,1,0,0,0,0,0
And So It Goes,PG13,18,40,5.8,38,15160801,2014,0,0,0,0,1,1,0,1,0,0,0
